CountryCode,ProviderName,ProductName,LoanType,Period,Rate,Coverage,Check Date,ValidSinceDate,NHG,,Remarks
NL,ING,INGVaste,Annuiteitenhypotheek,1 jaar,1.44%,NHG    ,2017-10-15,2017-10-13,N,,NHG: You mentioned this column is static for the previous website and to assign it “N”. What should it be for this website.
NL,ING,INGVaste,Annuiteitenhypotheek,1 jaar,1.39%,≤55%,2017-10-15,2017-10-13,N,,LoanType: Is this correct for this website ?
NL,ING,INGVaste,Annuiteitenhypotheek,1 jaar,1.44%,≤60%,2017-10-15,2017-10-13,N,,ProductName: Is this value correct or should i pull some other product name ?
NL,ING,INGVaste,Annuiteitenhypotheek,1 jaar,1.49%,≤65%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,1 jaar,1.54%,≤70%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,1 jaar,1.59%,≤75%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,2 jaar,1.47%,NHG    ,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,2 jaar,1.42%,≤55%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,2 jaar,1.47%,≤60%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,2 jaar,1.52%,≤65%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,2 jaar,1.57%,≤70%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,2 jaar,1.62%,≤75%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,3 jaar,1.49%,NHG    ,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,3 jaar,1.44%,≤55%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,3 jaar,1.49%,≤60%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,3 jaar,1.54%,≤65%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,3 jaar,1.59%,≤70%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,3 jaar,1.64%,≤75%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,5 jaar,1.55%,NHG    ,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,5 jaar,1.50%,≤55%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,5 jaar,1.55%,≤60%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,5 jaar,1.60%,≤65%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,5 jaar,1.65%,≤70%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,5 jaar,1.70%,≤75%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,6 jaar,1.59%,NHG    ,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,6 jaar,1.54%,≤55%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,6 jaar,1.59%,≤60%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,6 jaar,1.64%,≤65%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,6 jaar,1.69%,≤70%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,6 jaar,1.74%,≤75%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,7 jaar,1.62%,NHG    ,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,7 jaar,1.57%,≤55%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,7 jaar,1.62%,≤60%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,7 jaar,1.67%,≤65%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,7 jaar,1.72%,≤70%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,7 jaar,1.77%,≤75%,2017-10-15,2017-10-13,N,,
NL,ING,INGVaste,Annuiteitenhypotheek,10 jaar,1.79%,NHG    ,2017-10-15,2017-10-13,N,,
