CountryCode;ProviderName;ProductName;LoanType;Period;Rate;Coverage;Check Date;ValidSinceDate;NHG
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;1 jaar;1.20%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;1 jaar;1.60%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;1 jaar;1.90%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;2 jaar;1.30%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;2 jaar;1.70%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;2 jaar;2.00%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;3 jaar;1.50%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;3 jaar;1.90%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;3 jaar;2.20%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;4 jaar;1.50%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;4 jaar;1.90%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;4 jaar;2.20%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;5 jaar;1.60%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;5 jaar;2.00%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;5 jaar;2.30%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;6 jaar;1.60%;0%-67.5%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;6 jaar;2.00%;67.5%-90.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;6 jaar;2.30%;90.0%-100.0%;2017-10-14;2017-09-18;N;
NL;Robobank;RabobankBasisvoorwaarden;Annuiteitenhypotheek;7 jaar;1.60%;0%-67.5%;2017-10-14;2017-09-18;N;
